category,disposal,imageUrl,instruction,name,recyclable,similarItem
Others,Dispose as general waste,"https://res.cloudinary.com/sagacity/image/upload/c_crop,h_667,w_1000,x_0,y_0/c_limit,w_1080/v1432830831/shutterstock_199135976_a55b4p.jpg",,"Old items which are not in good condition (e.g. clothes, shoes, bag, soft toy, umbrella etc)",FALSE,"[""Old items which are in good condition (e.g. clothes, shoes, bag, soft toy, umbrella, spectacle etc)""]"
Paper,Dispose as general waste,https://www.tasteofhome.com/wp-content/uploads/2017/11/TMBSTK_wax-paper-enviro_2017_D10_03-e1602182809238.jpg,,Wax paper,FALSE,"[""Paper towel"",""Toilet paper""]"
Paper,Dispose in regular blue recycling bins,https://www.printvenue.sg/static/product/impressive-ivory-white-paper-200-gsm-business-cards/product-preview-l-1,,Namecard,TRUE,"[""Greeting card""]"
Glass,Donate if it is in good condition,https://media.karousell.com/media/photos/products/2020/12/27/ikea_mirror_used_1609041888_6eb1adfd_progressive.jpg,,Mirror,FALSE,"[""Windows"",""Light bulb""]"
Others,Donate if it is in good condition,https://static2.jetpens.com/images/a/000/131/131106.jpg?ba=middle%2Ccenter&balph=3&blend64=aHR0cDovL3d3dy5qZXRwZW5zLmNvbS9pbWFnZXMvYXNzZXRzL3dhdGVybWFyazIucG5n&bm=difference&bs=inherit&mark64=aHR0cDovL3d3dy5qZXRwZW5zLmNvbS9pbWFnZXMvYXNzZXRzL3dhdGVybWFyazEucG5n&markalign=top%2Cright&markalpha=30&markscale=16&q=90&w=600&s=8fbceed2d20a56ebdf269e5457848c28,,Stationery - Pen and pencil,FALSE,"[""Writing paper""]"
Glass,Dispose in regular blue recycling bins,https://ae01.alicdn.com/kf/HTB14dQfbh2rK1RkSnhJq6ykdpXal/NEW-5OZ-150ML-Glass-Mason-Jam-Jars-with-Red-Checked-lids-Pack-of-6PCS.jpg,Please empty and rinse when necessary,"Glass bottle - Food (e.g. sauce and condiment bottle, jam spread etc)",TRUE,"[""Glass bottle - Beverage (e.g. carbonated drink, beer, wine)""]"
Plastic,Dispose as general waste,"https://www.rollingstone.com/wp-content/uploads/2021/03/lou-ottens-obit.jpg?resize=1800,1200&w=1800",,Cassette and video tape,FALSE,"[""CD casing"",""CD""]"
Electronics,Dispose in green E-Waste recycling bins,https://images.unsplash.com/photo-1426024084828-5da21e13f5dc?ixid=MXwxMjA3fDB8MHxzZWFyY2h8MXx8cGhvbmUlMjB0YWJsZXQlMjBsYXB0b3B8ZW58MHx8MHw%3D&ixlib=rb-1.2.1&w=1000&q=80,,"Electronic waste (e.g. Used mobile phone, tablet, laptop etc)",TRUE,"[""IT accessories (e.g. cable, mouse, keyboard etc)"",""Household battery"",""Rechargable battery""]"
Glass,Donate if it is in good condition,https://i.pinimg.com/originals/37/cd/0a/37cd0a97ccb2f01b48829f898e9c421b.jpg,,"Ceramic product (e.g. ceramic plate, tea pot etc)",FALSE,"[""Glassware - Cup, plate"",""Melamine products (e.g. Melamine cups, melamine plates etc)""]"
Plastic,Dispose in regular blue recycling bins,http://sc04.alicdn.com/kf/H5aacda74dc2540e6b25e57e0d0cd50fdT.jpg,Please empty contents,Egg tray container,TRUE,"[""Egg tray"",""Plastic bottle/container - Food or Beverage (e.g. PET, PP or PS bottles/container, carbonated and non-carbonated drinks etc)""]"
Paper,Dispose in regular blue recycling bins,https://laz-img-sg.alicdn.com/p/2cef65d18d413e4ceccddffa64b68e65.jpg,,Writing paper,TRUE,"[""Stationery - Pen and pencil"",""Book""]"
Paper,Dispose in regular blue recycling bins,https://www.towerhamlets.gov.uk/images_and_video/Leisure-and-culture/000644-000026.jpg,Donate if it is in good condition,Book,TRUE,"[""Telephone directory"",""Writing paper""]"
Glass,Dispose in regular blue recycling bins,https://partysavvy.com/wp-content/uploads/2015/08/Glassware-Demitass-Cup-and-Saucer.jpg,,"Glassware - Cup, plate",TRUE,"[""Ceramic product (e.g. ceramic plate, tea pot etc)"",""Melamine products (e.g. Melamine cups, melamine plates etc)""]"
Glass,Dispose as general waste,https://upload.wikimedia.org/wikipedia/commons/c/ce/Measuring_cup.jpg,,Borosilicate or Pyrex glassware (e.g. bakeware),FALSE,"[""Clean aluminium tray and foil"",""Wax paper""]"
Metal,Dispose in regular blue recycling bins,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRB9dUyUCKfXaAotGipkLyc7rhDj4a4V2Q1dw&usqp=CAU,Please empty contents,Metal container - Non-food (e.g. paint container etc),TRUE,"[""Metal bottle cap"",""Aerosol can""]"
Electronics,Dispose in green E-Waste recycling bins,https://www.cytron.io/image/catalog/products/RPI-KYB-US/Rpi-KYB-Mouse%20(1).jpg,,"IT accessories (e.g. cable, mouse, keyboard etc)",TRUE,"[""Electronic waste (e.g. Used mobile phone, tablet, laptop etc)"",""Household battery""]"
Metal,Dispose in regular blue recycling bins,https://cdn.shopify.com/s/files/1/1060/1908/products/aluminum-small-foil-ttray_275f401a-1a96-4a6f-a130-c66bb4ce0585_large.jpg?v=1464419371,Please empty and rinse when necessary,Clean aluminium tray and foil,TRUE,"[""Borosilicate or Pyrex glassware (e.g. bakeware)""]"
Paper,Dispose in regular blue recycling bins,https://i.pinimg.com/originals/d6/d9/83/d6d983c04fba258e9c3623c5da42c9d6.jpg,Please flatten,Tissue Box,TRUE,"[""Tissue paper""]"
Others,Contact Town council to remove from your residential premises,https://shopee.sg/blog/wp-content/uploads/2018/10/44aac12e330a756129560b9065a03238.jpeg,,Plant and horticultural waste (non-landed estates),FALSE,"[""Plant and horticultural waste (landed estates)"",""Bulky waste (e.g. Furniture, standing fan etc)""]"
Glass,Dispose in regular blue recycling bins,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRP9lWi-WqSnw1BmfUkqFlE5wzTuea1CpIuCQ&usqp=CAU,Please empty and rinse when necessary,"Glass bottle - Beverage (e.g. carbonated drink, beer, wine)",TRUE,"[""Glass bottle - Food (e.g. sauce and condiment bottle, jam spread etc)"",""Food waste""]"
Glass,Dispose as general waste,https://img3.exportersindia.com/product_images/bc-full/dir_179/5341679/upvc-sliding-windows-1512129466-3491263.jpeg,,Windows,FALSE,"[""Mirror"",""Bulky waste (e.g. Furniture, standing fan etc)""]"
Paper,Dispose in regular blue recycling bins,https://www.printingforless.com/images/CoverStockBrochure.jpg,,Flyer (Glossy and non-glossy),TRUE,"[""Brochure (Glossy and non-glossy)""]"
Paper,Dispose in regular blue recycling bins,https://images.theconversation.com/files/306880/original/file-20191213-85371-j8w27u.jpg?ixlib=rb-1.1.0&q=45&auto=format&w=1200&h=1200.0&fit=crop,,Gift wrapping paper,TRUE,"[""Printed paper (Glossy and non-glossy)"",""Plastic film/flexible packaging (e.g. magazine wrapper, film packaging for packet drinks, bubble wrap etc.)""]"
Plastic,Dispose in regular blue recycling bins,https://image.made-in-china.com/2f0j00hPdfTwQchFka/500-1000ml-Food-Grade-Microwavable-Disposable-Plastic-Takeaway-Clear-Food-Container.jpg,Please empty and rinse when necessary,Non-polystyrene foam takeaway food container ,TRUE,"[""Polystyrene foam product (e.g. Styrofoam cup, clam shell container)""]"
Plastic,Dispose in regular blue recycling bins,https://cf.shopee.sg/file/fa3ee37f809414205f21ed6cb110da98,,CD Casing,TRUE,"[""CD"",""Cassette and video tape""]"
Metal,Dispose in regular blue recycling bins,https://www.ball.com/Ball/media/Ball/Global/Markets%20and%20Capabilities%20Images/Beverage-Can-Upright-and-Can-Side-340x430.jpg?ext=.jpg,Please empty and rinse when necessary,"Metal can - Beverage (e.g. carbonated drink, beer etc)",TRUE,"[""Metal can - Food (e.g. biscuit and food tin, canned food etc)"",""Metal bottle cap""]"
Paper,Dispose in regular blue recycling bins,https://www.conserve-energy-future.com/wp-content/uploads/2020/08/pile-of-old-magazines.jpg,,Magazine (Glossy and non-glossy),TRUE,"[""Book"",""Newspaper""]"
Electronics,Dispose in green E-Waste recycling bins,https://cdn.thewirecutter.com/wp-content/uploads/2015/12/01-nimh-battery-charger-panasonic-advanced-630.jpg,Can be recycled at specific collection points,Rechargeable battery,TRUE,"[""Household battery"",""IT accessories (e.g. cable, mouse, keyboard etc)"",""Electronic waste (e.g. Used mobile phone, tablet, laptop etc)""]"
Paper,Dispose in regular blue recycling bins,https://www.cartonboxes.sg/images/cartons/standard-rsc-cartons.jpg,Please flatten,Carton Box,TRUE,"[""Paper packaging (e.g. printed paper box etc)""]"
Plastic,Dispose as general waste,https://www.plasticstoday.com/sites/plasticstoday.com/files/stock-photo-multi-color-flexible-straws-on-white-background-329327915-3e7374d1.jpeg,,Drinking Straw,FALSE,"[""Beverage carton (e.g. milk, juice and drink packet)""]"
Paper,Dispose in regular blue recycling bins,https://5.imimg.com/data5/KG/CF/WO/SELLER-22764051/toilet-paper-roll-tube-500x500.png,,Toilet roll tube,TRUE,"[""Toilet paper"",""Paper towel"",""Wax paper""]"
Paper,Dispose in regular blue recycling bins,https://dmzn2b8hkpq8b.cloudfront.net/images/products/515x515/S327772.jpg,,Printed paper (Glossy and non-glossy),TRUE,"[""Paper packaging (e.g. printed paper box etc)"",""Gift wrapping paper""]"
Paper,Dispose as general waste,https://shop.singpost.com/pub/media/catalog/product/cache/8437568456cbbf2e9fa8f2417ac563ac/p/o/posting_box_tissue_pouh_online.jpg,,Tissue paper,FALSE,"[""Tissue box"",""Toilet paper""]"
Electronics,Dispose in green E-Waste recycling bins,https://images.squarespace-cdn.com/content/v1/54ae0e33e4b088b975e630ca/1507186724536-Y3ARAKSJUYJP298IITMV/ke17ZwdGBToddI8pDm48kAlRjvI3JBMkqHr8PrjU6OBZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZUJFbgE-7XRK3dMEBRBhUpw5opcnmBGTrSvl2qRMpP26GoCkGNz5_9dQAIAin1fSUDtA17tJf18RHtGmSCRAXcQ/common-houshold-batteries-580x580.jpg,,Household battery,TRUE,"[""Rechargable battery"",""IT accessories (e.g. cable, mouse, keyboard etc)"",""Electronic waste (e.g. Used mobile phone, tablet, laptop etc)""]"
Paper,Dispose in regular blue recycling bins,https://i.ebayimg.com/images/g/6S8AAOSw8-Rf6ZNC/s-l300.jpg,,Calendar,TRUE,"[""Greeting card""]"
Plastic,Dispose in regular blue recycling bins,https://sc04.alicdn.com/kf/H8aff9bf6f7ff4d95b4eda46e3ea9cad02.jpg,,"Plastic film/flexible packaging (e.g. magazine wrapper, film packaging for packet drinks, bubble wrap etc.)",TRUE,"[""Gift wrapping paper""]"
Paper,Dispose in regular blue recycling bins,https://media.karousell.com/media/photos/products/2019/09/28/old_newspapers_1569643146_15c40b69_progressive.jpg,,Newspaper,TRUE,"[""Magazine (Glossy and non-glossy)"",""Brochure (Glossy and non-glossy)""]"
Plastic,Dispose in regular blue recycling bins,https://www.plasticstoday.com/sites/plasticstoday.com/files/plastic-carrier-bag-300.jpg,,Plastic bag (except for oxo- and bio-degradable bags),TRUE,"[""Paper bag"",""Oxo- and bio-degradable bags""]"
Others,Donate if it is in good condition,https://pyxis.nymag.com/v1/imgs/f61/381/fe729b22d421afdb32b29440bdb1c97530-roam-purple-bag.rsquare.w600.jpg,,Luggage bag,FALSE,"[""Old items which are not in good condition (e.g. clothes, shoes, bag, soft toy, umbrella etc)"",""Old items which are in good condition (e.g. clothes, shoes, bag, soft toy, umbrella, spectacle etc)""]"
Others,Dispose as general waste,https://img2.exportersindia.com/product_images/bc-full/2019/11/6801954/baby-diapers-1574839234-5174637.png,,Diaper and sanitary pad,FALSE,"[""Toilet paper""]"
Metal,Dispose in regular blue recycling bins,https://recyclecoach.com/wp-content/uploads/2019/09/how-to-recycle-aerosol-spray-cans-1.png,Please empty contents,Aerosol can,TRUE,"[""Metal container - Non-food (e.g. paint container etc)""]"
Paper,Dispose in regular blue recycling bins,https://cdn1.npcdn.net/image/155047405045fe6f4dfedd0b2ab20548358cf1b5e4.jpg?md5id=357429c78239304d194f517cde4ad439&new_width=400&new_height=400&size=max&font_size=14&w=-62170009200,,Paper bag,TRUE,"[""Plastic bag (except for oxo- and bio-degradable bags)""]"
Glass,Dispose in regular blue recycling bins,https://singaporesoap.com/wp-content/uploads/2015/07/15ml-Amber-Glass-Bottle-with-Glass-Dropper.jpg,Please empty and rinse when necessary,Glass bottle - Medicine and supplement,TRUE,"[""Glass bottle - Cosmetic"",""Leftover medicine""]"
Plastic,Dispose as general waste,https://www.wpr.org/sites/default/files/styles/resp_orig_custom_user_wide_1x/https/wpr-public.s3.amazonaws.com/ttbook/images/IMG_0432.jpg?itok=XN5q00O6,,Mahjong Tiles,FALSE,"[""Melamine products (e.g. Melamine cups, melamine plates etc)""]"
Glass,Can be recycled at specific collection points,https://www2.northwestmuseum.org/webart2/17714.jpg,,Light Bulb,TRUE,"[""Household battery"",""Windows""]"
Plastic,Dispose in regular blue recycling bins,https://cf.shopee.sg/file/b439c518fddfe5e6f4beca6ead2eb1ab,,Plastic clothes hanger,TRUE,"[""Old items which are not in good condition (e.g. clothes, shoes, bag, soft toy, umbrella etc)"",""Old items which are in good condition (e.g. clothes, shoes, bag, soft toy, umbrella, spectacle etc)""]"
Plastic,Dispose as general waste,http://sc04.alicdn.com/kf/HTB1cNxFD9tYBeNjSspkq6zU8VXag.jpg,,Oxo- and bio-degradable bags,FALSE,"[""Gift wrapping paper"",""Paper bag""]"
Paper,Dispose in regular blue recycling bins,https://www.asiaone.com/sites/default/files/inline-images/20200303_mail_tf.jpg,,Envelope (With and without plastic window),TRUE,"[""Red packet"",""Writing paper""]"
Paper,Dispose as general waste,https://www.bra.org/wp-content/uploads/guide-paper-paperplatescups.jpg,,Used paper disposables,FALSE,"[""Disposable wooden chopstick"",""Paper packaging that are contaminated with food (eg pizza box, paper bag for pastries)"",""Plastic bottle/container - Food or Beverage (e.g. PET, PP or PS bottles/container, carbonated and non-carbonated drinks etc)""]"
Paper,Dispose in regular blue recycling bins,https://environmentjournal.online/wp-content/uploads/2019/03/receipts-1372960_1920-800x445.jpg,,Paper receipt,TRUE,"[""Shredded paper""]"